,Price,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Color,Airbags
97,4234,HONDA,1997,Hatchback,Yes,Petrol,333333 km,4.0,Manual,Blue,6
98,15053,MERCEDES-BENZ,2004,Sedan,Yes,Petrol,214000 km,6.0,Tiptronic,Grey,8
99,15458,HYUNDAI,2009,Coupe,Yes,Petrol,123346 km,4.0,Automatic,Black,4
100,2901,CHEVROLET,2014,Sedan,Yes,Petrol,80827 km,4.0,Automatic,Green,12
103,15681,LEXUS,2010,Jeep,Yes,Petrol,275240 km,8.0,Automatic,Silver,12
104,26657,MERCEDES-BENZ,2004,Microbus,No,Diesel,300000 km,4.0,Manual,White,1
105,10663,TOYOTA,2007,Hatchback,No,Petrol,318400 km,4.0,Automatic,Silver,6
106,12858,FORD,2015,Sedan,No,Petrol,91200 km,4.0,Automatic,Sky blue,10
107,1019,BMW,2013,Jeep,Yes,Diesel,137802 km,6.0,Automatic,Black,12
109,12858,KIA,2016,Hatchback,No,Petrol,107000 km,4.0,Manual,Silver,2
110,15000,BMW,2008,Sedan,Yes,CNG,210408 km,6.0,Tiptronic,White,12
111,85553,FORD,2017,Jeep,Yes,Petrol,100567 km,4.0,Automatic,Black,4
112,44752,HYUNDAI,2016,Universal,Yes,Diesel,86000 km,4.0,Automatic,Grey,4
113,17158,HYUNDAI,2010,Sedan,Yes,Petrol,122740 km,4.0,Automatic,White,4
114,12231,MITSUBISHI,2005,Jeep,No,LPG,144000 km,4.0,Tiptronic,White,16
115,11917,MERCEDES-BENZ,2003,Sedan,Yes,Petrol,150000 km,12.0,Tiptronic,White,12
116,1254,MITSUBISHI,1997,Sedan,No,Petrol,100000 km,4.0,Manual,Red,12
118,25591,SSANGYONG,2013,Jeep,Yes,Diesel,85704 km,4.0,Automatic,Silver,4
119,14897,HYUNDAI,2010,Jeep,Yes,Diesel,58962 km,4.0,Automatic,White,4
120,23521,TOYOTA,2013,Sedan,Yes,Hybrid,90000 km,4.0,Tiptronic,White,12
121,3450,RENAULT,1995,Hatchback,No,Petrol,50000 km,3.0,Manual,Green,12
123,1019,TOYOTA,2009,Sedan,Yes,Hybrid,318358 km,6.0,Automatic,Black,12
124,16935,FORD,2015,Sedan,Yes,Petrol,71454 km,4.0,Automatic,Black,12
125,19444,TOYOTA,2012,Sedan,Yes,Petrol,71454 km,4.0,Tiptronic,Black,6
126,11604,HYUNDAI,2014,Sedan,Yes,LPG,346470 km,4.0,Automatic,Silver,4
127,51965,HYUNDAI,2016,Jeep,Yes,Diesel,59515 km,4.0,Automatic,Blue,4
129,9408,MERCEDES-BENZ,1999,Sedan,No,Diesel,111111 km,4.0,Manual,Silver,4
130,13328,HYUNDAI,2008,Minivan,Yes,Diesel,74444 km,4.0,Automatic,Yellow,4
131,17876,NISSAN,2012,Minivan,No,Petrol,143000 km,4.0,Tiptronic,White,12
133,20071,TOYOTA,2008,Jeep,No,Petrol,135000 km,4.0,Automatic,Silver,8
134,22894,HYUNDAI,2011,Minivan,Yes,Diesel,124444 km,4.0,Automatic,Yellow,4
135,2901,HONDA,2012,Sedan,Yes,Hybrid,146403 km,4.0,Automatic,White,4
136,15681,MITSUBISHI,1997,Jeep,No,Petrol,142000 km,4.0,Automatic,Blue,6
137,39829,LEXUS,2010,Jeep,Yes,Petrol,155821 km,8.0,Automatic,Black,6
139,18660,HYUNDAI,2013,Sedan,Yes,Petrol,130000 km,4.0,Tiptronic,Black,6
140,22580,MERCEDES-BENZ,2017,Sedan,Yes,Petrol,50930 km,4.0,Automatic,Black,12
141,11604,HYUNDAI,2014,Sedan,Yes,LPG,264872 km,4.0,Automatic,Silver,4
143,5488,GMC,2013,Jeep,Yes,Petrol,138958 km,4.0,Automatic,Black,12
144,4300,MERCEDES-BENZ,1985,Universal,No,Diesel,1111111 km,4.0,Manual,Black,1
145,18817,TOYOTA,2018,Sedan,Yes,Hybrid,35058 km,4.0,Automatic,White,12
146,21169,HONDA,2015,Jeep,No,Petrol,33330 km,4.0,Automatic,Grey,8
147,9095,FIAT,2011,Coupe,No,Petrol,141000 km,4.0,Automatic,Red,4
148,1568,VOLKSWAGEN,2014,Sedan,Yes,Diesel,82392 km,4.0,Automatic,Silver,12
149,3136,SUBARU,2005,Goods wagon,No,Petrol,180000 km,6.0,Tiptronic,Blue,6
150,17876,HYUNDAI,2013,Sedan,Yes,Petrol,117920 km,4.0,Tiptronic,Grey,12
151,11290,HYUNDAI,2016,Sedan,Yes,LPG,279787 km,4.0,Automatic,Silver,4
152,36065,TOYOTA,2010,Minivan,Yes,Petrol,227200 km,6.0,Tiptronic,White,16
154,21395,HYUNDAI,2012,Universal,Yes,Diesel,166144 km,4.0,Automatic,Silver,4
155,15681,HYUNDAI,2016,Sedan,Yes,LPG,258706 km,4.0,Automatic,Silver,4
157,40070,TOYOTA,2016,Hatchback,Yes,Petrol,25807 km,4.0,Automatic,Black,4
158,11917,MERCEDES-BENZ,2008,Hatchback,No,Petrol,180000 km,4.0,Automatic,Golden,8
159,72130,LEXUS,2018,Jeep,Yes,Petrol,18918 km,4.0,Tiptronic,Black,6
160,35927,SSANGYONG,2013,Jeep,Yes,Diesel,137267 km,4.0,Automatic,Silver,4
161,21012,TOYOTA,2014,Sedan,No,Hybrid,160000 km,4.0,Automatic,White,4
162,21012,TOYOTA,2018,Sedan,Yes,Petrol,27358 km,6.0,Automatic,Grey,12
163,13172,KIA,2009,Minivan,Yes,Diesel,84176 km,4.0,Automatic,White,6
164,15624,HYUNDAI,2011,Coupe,Yes,Petrol,107005 km,4.0,Automatic,Grey,4
165,4547,OPEL,1997,Sedan,No,Petrol,15000 km,4.0,Manual,Beige,2
166,5488,INFINITI,2015,Jeep,Yes,Petrol,124154 km,6.0,Automatic,Black,12
167,20005,HYUNDAI,2012,Sedan,Yes,Petrol,104997 km,4.0,Automatic,White,4
168,36110,VOLKSWAGEN,2017,Sedan,Yes,Petrol,27728 km,6.0,Tiptronic,Silver,8
169,7840,MERCEDES-BENZ,1998,Sedan,Yes,Petrol,777777 km,6.0,Manual,Blue,4
171,1300,AUDI,2018,Coupe,Yes,Petrol,4000 km,1.0,Tiptronic,Blue,4
172,43880,HYUNDAI,2016,Jeep,Yes,Diesel,113700 km,4.0,Automatic,Silver,4
173,29479,MERCEDES-BENZ,2014,Sedan,Yes,Petrol,69000 km,4.0,Tiptronic,Grey,8
174,17249,TOYOTA,2011,Sedan,Yes,Hybrid,152000 km,4.0,Variator,White,12
175,9408,TOYOTA,2003,Universal,No,Petrol,181926 km,4.0,Automatic,Silver,2
176,44213,HYUNDAI,2016,Jeep,Yes,Diesel,50255 km,4.0,Automatic,Red,4
177,8467,BMW,2001,Sedan,Yes,Petrol,252800 km,6.0,Manual,Grey,6
179,21950,FORD,2011,Goods wagon,No,Diesel,125000 km,4.0,Manual,White,2
181,3136,CHEVROLET,2014,Sedan,Yes,Petrol,156992 km,4.0,Automatic,Black,12
182,3450,OPEL,1995,Sedan,No,CNG,156992 km,4.0,Manual,White,2
183,9408,MITSUBISHI,1998,Jeep,No,Petrol,11000 km,6.0,Tiptronic,Silver,4
184,31500,NISSAN,2010,Jeep,Yes,LPG,90200 km,6.0,Tiptronic,Black,12
185,20385,MITSUBISHI,2005,Minivan,Yes,Petrol,184000 km,6.0,Automatic,White,12
187,2300,VOLKSWAGEN,1996,Sedan,No,CNG,184000 km,4.0,Manual,Green,12
188,7840,MERCEDES-BENZ,2004,Universal,No,LPG,170000 km,4.0,Tiptronic,Silver,4
189,56450,TOYOTA,2018,Sedan,Yes,Petrol,25000 km,4.0,Tiptronic,Blue,12
190,1490,VOLKSWAGEN,2014,Universal,Yes,Diesel,113214 km,4.0,Automatic,Grey,12
193,13172,HONDA,2002,Jeep,No,Petrol,260000 km,4.0,Automatic,Silver,6
194,19757,NISSAN,1990,Jeep,No,Diesel,222222 km,4.0,Manual,Black,6
195,4704,AUDI,2013,Hatchback,Yes,Petrol,301707 km,6.0,Automatic,Grey,6
197,5802,MERCEDES-BENZ,2013,Sedan,Yes,Diesel,107800 km,6.0,Automatic,Grey,12
198,25716,TOYOTA,2014,Sedan,No,Petrol,115200 km,4.0,Automatic,Silver,8
199,14426,CHEVROLET,2012,Jeep,Yes,LPG,132036 km,4.0,Automatic,White,4
200,10820,TOYOTA,2001,Jeep,No,Petrol,91000 km,4.0,Automatic,Silver,4
201,45436,FORD,2011,Jeep,Yes,Petrol,129177 km,4.0,Automatic,White,4
202,11917,HYUNDAI,2008,Hatchback,No,Diesel,201000 km,4.0,Manual,Black,8
203,41281,HYUNDAI,2015,Jeep,Yes,Diesel,185811 km,4.0,Automatic,Black,4
204,4391,NISSAN,1998,Sedan,No,Petrol,358400 km,4.0,Manual,Brown,2
205,3058,PORSCHE,2018,Sedan,Yes,Petrol,28968 km,6.0,Automatic,White,12
206,3700,ALFA ROMEO,2001,Coupe,Yes,Petrol,240000 km,4.0,Manual,Black,4
207,15681,SUZUKI,2008,Jeep,No,Petrol,98000 km,4.0,Automatic,Black,12
208,6586,LEXUS,2011,Hatchback,Yes,Hybrid,122302 km,4.0,Automatic,Black,12
209,12544,TOYOTA,2007,Hatchback,No,Hybrid,140000 km,4.0,Automatic,Beige,6
210,30063,HYUNDAI,2014,Jeep,Yes,Diesel,120000 km,4.0,Automatic,White,4
211,72130,PORSCHE,2010,Hatchback,Yes,Petrol,196800 km,8.0,Tiptronic,White,8
212,21639,HYUNDAI,2015,Hatchback,No,Petrol,17200 km,4.0,Tiptronic,Red,10
213,36692,TOYOTA,2013,Jeep,No,Petrol,120000 km,4.0,Tiptronic,White,10
215,12231,TOYOTA,2014,Hatchback,No,Hybrid,66000 km,4.0,Variator,Silver,4
216,3136,TOYOTA,2004,Sedan,No,Petrol,300000 km,4.0,Variator,Beige,4
217,10663,TOYOTA,2009,Sedan,Yes,Hybrid,230000 km,4.0,Variator,Grey,6
218,5620,HONDA,2013,Hatchback,Yes,Petrol,110467 km,4.0,Automatic,White,4
219,19130,MERCEDES-BENZ,2010,Sedan,Yes,Petrol,157000 km,4.0,Automatic,Grey,10
220,9408,HONDA,2012,Hatchback,No,Hybrid,64000 km,4.0,Variator,Black,4
222,15367,VOLKSWAGEN,2013,Sedan,Yes,Diesel,179200 km,4.0,Tiptronic,White,16
223,5959,CHEVROLET,2011,Sedan,Yes,Petrol,246976 km,8.0,Automatic,Black,12
224,26594,HYUNDAI,2014,Minivan,Yes,Diesel,179918 km,4.0,Automatic,Silver,4
225,36065,TOYOTA,2013,Sedan,Yes,Hybrid,92200 km,4.0,Tiptronic,Beige,12
226,26343,KIA,2016,Sedan,Yes,Diesel,29000 km,4.0,Tiptronic,Silver,8
228,6000,JEEP,1993,Jeep,No,Petrol,240000 km,6.0,Automatic,Green,5
229,40142,LEXUS,2010,Jeep,Yes,Petrol,357246 km,8.0,Automatic,Grey,5
230,14000,HYUNDAI,2013,Sedan,No,Petrol,50000 km,4.0,Tiptronic,Grey,10
231,17923,CHEVROLET,2014,Sedan,Yes,Petrol,127842 km,4.0,Automatic,White,4
232,54518,HYUNDAI,2017,Jeep,Yes,Petrol,40193 km,4.0,Automatic,Black,4
233,10349,OPEL,2003,Hatchback,No,Petrol,180000 km,4.0,Manual,Silver,6
234,8154,TOYOTA,2002,Hatchback,No,Petrol,115000 km,4.0,Automatic,Silver,7
236,7527,VOLKSWAGEN,2013,Sedan,Yes,Diesel,132310 km,4.0,Automatic,Grey,12
237,3450,TOYOTA,2017,Sedan,Yes,Petrol,60762 km,4.0,Automatic,White,12
238,22063,HYUNDAI,2010,Jeep,Yes,Diesel,142264 km,4.0,Automatic,White,4
239,2901,HONDA,2012,Sedan,Yes,Hybrid,146403 km,4.0,Automatic,White,4
240,4704,TOYOTA,2013,Sedan,Yes,Petrol,227371 km,4.0,Automatic,Silver,12
241,5331,VOLKSWAGEN,2002,Sedan,Yes,Petrol,175000 km,6.0,Manual,Grey,6
243,16900,HONDA,2013,Hatchback,Yes,Petrol,70000 km,4.0,Automatic,Blue,4
244,18189,NISSAN,2010,Jeep,Yes,Petrol,122000 km,4.0,Automatic,Silver,4
245,5331,MAZDA,2000,Minivan,No,Petrol,127000 km,4.0,Automatic,Green,4
246,42651,MERCEDES-BENZ,2017,Jeep,Yes,Petrol,44995 km,4.0,Automatic,Black,4
247,15524,TOYOTA,2012,Hatchback,No,Hybrid,122324 km,4.0,Automatic,Red,7
248,17249,BMW,2007,Sedan,Yes,Petrol,111111 km,6.0,Tiptronic,Grey,10
249,73071,LEXUS,2013,Sedan,Yes,Petrol,56000 km,6.0,Tiptronic,Black,12
251,28909,HYUNDAI,2017,Sedan,Yes,Diesel,98000 km,4.0,Automatic,White,4
252,8467,HYUNDAI,2012,Sedan,Yes,LPG,573249 km,4.0,Automatic,Black,4
254,14426,HYUNDAI,2014,Sedan,Yes,LPG,169024 km,4.0,Automatic,White,4
255,9000,VOLKSWAGEN,2011,Minivan,No,Petrol,126000 km,4.0,Automatic,Silver,6
256,30734,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,200179 km,6.0,Automatic,Black,12
257,22580,TOYOTA,2013,Sedan,Yes,Petrol,156666 km,4.0,Automatic,Black,12
259,7464,HONDA,2014,Hatchback,Yes,Hybrid,114950 km,4.0,Automatic,Blue,4
260,1333,FORD,2016,Sedan,Yes,Petrol,154850 km,4.0,Automatic,Black,12
261,59865,HYUNDAI,2019,Jeep,Yes,Diesel,13000 km,4.0,Automatic,White,4
262,49237,TOYOTA,2017,Jeep,Yes,Petrol,94262 km,4.0,Automatic,White,12
263,68223,HYUNDAI,2018,Universal,Yes,Diesel,27406 km,4.0,Automatic,Yellow,4
265,7683,NISSAN,2006,Sedan,Yes,CNG,200000 km,4.0,Variator,Silver,2
266,22266,FORD,2013,Sedan,Yes,Petrol,85500 km,4.0,Automatic,Black,8
267,2430,MERCEDES-BENZ,2008,Sedan,Yes,Diesel,175614 km,6.0,Automatic,Black,12
270,33556,MERCEDES-BENZ,2015,Sedan,Yes,Petrol,175614 km,4.0,Automatic,Black,12
271,39161,SSANGYONG,2017,Jeep,Yes,Diesel,73000 km,4.0,Automatic,White,4
272,16308,FORD,2008,Microbus,No,Diesel,180000 km,4.0,Manual,White,2
273,17719,TOYOTA,2009,Sedan,Yes,Hybrid,92000 km,4.0,Tiptronic,Sky blue,8
274,43278,LEXUS,2011,Jeep,Yes,Petrol,160138 km,8.0,Automatic,White,8
276,20385,CHEVROLET,2017,Sedan,No,Petrol,42000 km,4.0,Tiptronic,Black,12
278,49858,HYUNDAI,2019,Jeep,Yes,Diesel,48000 km,4.0,Automatic,White,4
279,8781,NISSAN,1998,Minivan,Yes,Diesel,230000 km,4.0,Automatic,White,4
281,9722,HYUNDAI,2015,Sedan,Yes,LPG,582376 km,4.0,Automatic,Orange,4
282,21326,MERCEDES-BENZ,2006,Sedan,Yes,Petrol,2000 km,8.0,Automatic,Grey,12
283,51075,HYUNDAI,2017,Jeep,Yes,Diesel,40800 km,4.0,Automatic,White,4
284,15241,HYUNDAI,2011,Coupe,Yes,Petrol,117492 km,4.0,Automatic,Grey,4
285,2587,FORD,2015,Sedan,Yes,Hybrid,88795 km,4.0,Automatic,Black,4
286,15524,HYUNDAI,2008,Minivan,Yes,Diesel,56769 km,4.0,Automatic,Silver,4
287,27911,MERCEDES-BENZ,2014,Sedan,Yes,Petrol,70000 km,4.0,Tiptronic,Beige,8
288,4861,TOYOTA,2013,Sedan,Yes,Hybrid,136861 km,4.0,Automatic,Blue,12
289,29793,MERCEDES-BENZ,2005,Sedan,Yes,Petrol,263000 km,4.0,Automatic,Black,12
290,18208,HYUNDAI,2012,Sedan,Yes,Petrol,95665 km,4.0,Automatic,Grey,4
293,34497,TOYOTA,2013,Jeep,No,Petrol,65350 km,4.0,Tiptronic,White,12
294,6272,OPEL,2000,Goods wagon,No,Petrol,130000 km,4.0,Manual,Silver,12
295,4924,CHEVROLET,2007,Jeep,Yes,Diesel,183923 km,4.0,Automatic,Silver,4
296,4704,OPEL,2000,Hatchback,No,Diesel,11111 km,4.0,Manual,Red,2
297,43576,HYUNDAI,2016,Universal,Yes,Diesel,97129 km,4.0,Automatic,Silver,4
298,7840,MERCEDES-BENZ,2001,Sedan,Yes,CNG,140000 km,4.0,Manual,Black,4
299,28225,TOYOTA,2018,Jeep,No,Petrol,24000 km,4.0,Automatic,Grey,8
301,2352,MAZDA,1998,Hatchback,No,Petrol,300000 km,4.0,Manual,Silver,2
302,18817,CHEVROLET,2017,Hatchback,Yes,Petrol,29094 km,4.0,Automatic,Grey,2
303,4861,FORD,2015,Sedan,Yes,Hybrid,148709 km,4.0,Automatic,Red,12
304,13172,LEXUS,2010,Jeep,Yes,Hybrid,186005 km,6.0,Automatic,Silver,12
305,37320,MERCEDES-BENZ,2013,Sedan,Yes,Petrol,156800 km,4.0,Tiptronic,Black,12
307,39201,TOYOTA,2015,Sedan,Yes,Hybrid,35000 km,4.0,Automatic,Grey,10
308,36426,HYUNDAI,2018,Sedan,Yes,LPG,35643 km,4.0,Automatic,White,4
309,8467,HONDA,2006,Hatchback,No,Petrol,250000 km,4.0,Manual,Grey,4
310,7840,MERCEDES-BENZ,2000,Coupe,Yes,Petrol,255000 km,6.0,Tiptronic,Silver,4
311,12701,HONDA,2015,Jeep,Yes,Petrol,117158 km,4.0,Automatic,White,12
312,8154,SUBARU,2012,Jeep,Yes,Petrol,281659 km,4.0,Automatic,Blue,12
313,46414,TOYOTA,2015,Sedan,Yes,Hybrid,63645 km,4.0,Tiptronic,White,12
314,45160,MERCEDES-BENZ,2015,Jeep,Yes,Diesel,197338 km,4.0,Automatic,White,12
317,1176,MITSUBISHI,2014,Hatchback,Yes,Petrol,136634 km,4.0,Automatic,Silver,12
318,12231,HYUNDAI,2013,Coupe,No,Petrol,77000 km,6.0,Manual,Beige,12
319,5802,TOYOTA,2007,Hatchback,Yes,Hybrid,140000 km,4.0,Variator,Green,12
320,2901,HYUNDAI,2018,Sedan,Yes,Petrol,45494 km,4.0,Automatic,White,12
321,1882,TOYOTA,2017,Sedan,Yes,Hybrid,47672 km,4.0,Automatic,White,12
322,22894,NISSAN,2010,Sedan,No,Petrol,109100 km,12.0,Automatic,Blue,12
323,11290,HONDA,2013,Sedan,No,Hybrid,145000 km,4.0,Automatic,Silver,8
324,6586,BMW,1997,Sedan,No,LPG,270000 km,4.0,Manual,Green,2
325,14426,TOYOTA,2006,Sedan,Yes,Hybrid,188800 km,4.0,Variator,Grey,8
326,36065,MITSUBISHI,2016,Jeep,Yes,Petrol,39000 km,4.0,Variator,Silver,12
327,27284,TOYOTA,2014,Sedan,Yes,Petrol,52000 km,4.0,Tiptronic,Black,12
328,21639,SUBARU,2016,Jeep,No,Petrol,34000 km,4.0,Variator,White,7
329,7840,HYUNDAI,2009,Hatchback,Yes,Petrol,140000 km,4.0,Automatic,Silver,4
330,7840,MERCEDES-BENZ,1998,Sedan,No,CNG,180003 km,4.0,Manual,Black,4
332,1646,MERCEDES-BENZ,2016,Jeep,Yes,Petrol,59099 km,6.0,Automatic,White,4
333,24198,HYUNDAI,2013,Jeep,Yes,Diesel,124000 km,4.0,Automatic,Silver,4
334,25365,HONDA,2013,Hatchback,Yes,Petrol,34682 km,4.0,Automatic,Grey,4
335,1725,CHEVROLET,2014,Sedan,Yes,Petrol,310061 km,4.0,Automatic,Blue,12
337,17249,TOYOTA,2012,Sedan,No,Hybrid,22400 km,4.0,Automatic,White,8
339,31361,HYUNDAI,2014,Sedan,Yes,Petrol,62000 km,4.0,Tiptronic,White,12
340,4704,HYUNDAI,2007,Sedan,Yes,Diesel,54279 km,4.0,Automatic,Silver,4
341,12720,CHEVROLET,2011,Sedan,Yes,Petrol,135759 km,4.0,Automatic,Grey,4
342,26372,HYUNDAI,2013,Jeep,Yes,Diesel,120534 km,4.0,Automatic,Silver,4
343,13485,BMW,2003,Jeep,Yes,LPG,189000 km,6.0,Tiptronic,Black,10
344,25591,HYUNDAI,2014,Sedan,Yes,Petrol,140000 km,4.0,Automatic,White,4
